property_type,property_subtype,living_area_m2,bedrooms,bathrooms,postal_code,latitude,longitude,building_year,state_of_the_building,furnished,has_garage,parking_count,kitchen_equipped,has_elevator,facades,floors_total,has_garden,garden_area_m2,has_terrace,total_area_m2,epc_score,region,province,km_from_nearby_city,is_nearby_city_prestigious,floor_number,coord_swapped,urban_density,property_age,living_area_ratio,bedroom_density,average_room_size,living_area_squared,external_area_dominance_index
Apartment,apartment,78.0,2.0,1.0,8450,51.2459,2.962663,1981.0,To renovate,0,0,,,0,,,0,,1,,B,Flanders,West Flanders,4.1,0,2.0,False,1271.5144033718814,45.0,,0.02564102564102564,39.0,6084.0,
House,residence,178.0,4.0,2.0,9000,51.0592439,3.7427355,2026.0,New,0,0,,Super equipped,0,3.0,3.0,1,87.0,1,157.0,,Flanders,East Flanders,1.9,0,,False,1728.1862462455617,0.0,1.1337579617834395,0.02247191011235955,44.5,31684.0,-0.13375796178343946
Apartment,apartment,117.0,3.0,2.0,5100,50.4143728,4.8877835,2024.0,New,0,0,,,1,2.0,5.0,0,,1,,A,Wallonia,Namur,6.0,0,2.0,False,653.844532744602,2.0,,0.02564102564102564,39.0,13689.0,
Apartment,apartment,57.0,1.0,1.0,2370,51.32067,5.092209,2012.0,Normal,0,0,,,0,,,1,,0,,B,Flanders,Antwerp,10.3,0,,False,241.5710347114542,14.0,,0.017543859649122806,57.0,3249.0,
Apartment,apartment,75.0,2.0,1.0,5000,50.467898,4.8626865,1950.0,To renovate,0,0,,,0,2.0,3.0,0,,0,,B,Wallonia,Namur,0.4,0,2.0,False,653.844532744602,76.0,,0.02666666666666667,37.5,5625.0,
House,residence,126.0,3.0,1.0,5380,50.552108,4.9855088,,New,0,0,,,0,4.0,,1,,0,462.0,A+,Wallonia,Namur,6469.5,0,,True,124.20041650535097,,0.2727272727272727,0.023809523809523808,42.0,15876.0,0.7272727272727273
House,residence,132.0,3.0,1.0,9340,50.96589,3.97743,,New,0,0,,,0,3.0,,1,,0,278.0,,Flanders,East Flanders,5.4,0,,False,649.8485695324549,,0.4748201438848921,0.022727272727272728,44.0,17424.0,0.525179856115108
House,residence,315.0,3.0,2.0,4900,50.4859585,5.8808516,,,0,1,2.0,,0,4.0,,1,,1,,A+,Wallonia,Liège,11.5,0,,False,246.09942683961563,,,0.009523809523809525,105.0,99225.0,
House,cottage,221.0,3.0,,4257,50.7055329,5.1882406,,To restore,0,1,1.0,,0,2.0,,1,600.0,0,880.0,,Wallonia,Liège,12.5,0,,False,233.93936536996847,,0.25113636363636366,0.013574660633484163,73.66666666666667,48841.0,0.7488636363636363
House,residence,85.0,2.0,1.0,6690,50.247604,5.8350543,1947.0,Normal,0,1,1.0,Fully equipped,0,3.0,1.0,1,70.0,1,975.0,E,Wallonia,Luxembourg,38.0,0,,False,55.81345815325597,79.0,0.08717948717948718,0.023529411764705882,42.5,7225.0,0.9128205128205128
Apartment,apartment,104.0,2.0,1.0,3680,51.0861634,5.7642631,1992.0,,0,1,1.0,,0,,,0,,1,,E,Flanders,Limburg,22.9,0,1.0,False,334.6337044205168,34.0,,0.019230769230769232,52.0,10816.0,
House,residence,140.0,3.0,2.0,7370,50.372016,3.8058371,2025.0,New,0,0,,Fully equipped,0,3.0,,1,,1,,A,Wallonia,Hainaut,13.8,0,,False,492.53660378076745,1.0,,0.02142857142857143,46.666666666666664,19600.0,
House,residence,154.0,4.0,1.0,2500,51.13388,4.553881,2024.0,New,0,0,,,0,,2.0,1,140.0,0,,A,Flanders,Antwerp,13.1,0,,False,772.6101047719809,2.0,,0.025974025974025976,38.5,23716.0,
House,residence,105.0,3.0,,4130,50.5718537,5.5803487,,Normal,0,1,1.0,Fully equipped,0,3.0,2.0,0,,1,175.0,F,Wallonia,Liège,6.8,0,,False,374.8445019812108,,0.6,0.02857142857142857,35.0,11025.0,0.4
Apartment,apartment,40.0,,,8200,51.2008402,3.1972242,2025.0,New,0,0,,,1,2.0,3.0,1,,1,,,Flanders,West Flanders,2.1,0,0.0,False,851.9094909591487,1.0,,,,1600.0,
Apartment,apartment,79.0,2.0,1.0,9200,51.0316476,4.1076803,1971.0,Normal,0,1,1.0,,1,,13.0,0,,1,,B,Flanders,East Flanders,0.6000000000000001,0,6.0,False,841.603733608959,55.0,,0.02531645569620253,39.5,6241.0,
House,residence,135.0,3.0,1.0,9230,50.9893256,3.887538,1940.0,To renovate,0,1,1.0,,0,3.0,,1,,1,450.0,F,Flanders,East Flanders,12.1,0,,False,727.3723894263135,86.0,0.3,0.022222222222222223,45.0,18225.0,0.7
House,residence,138.0,2.0,1.0,5670,50.0748018,4.5483364,,,0,0,,,0,3.0,,1,2.0,1,110.0,G,Wallonia,Namur,38.1,0,,False,46.33033330367375,,1.2545454545454546,0.014492753623188406,69.0,19044.0,-0.25454545454545463
Apartment,apartment,,2.0,2.0,1180,50.7872304,4.3740169,,,0,0,,,0,,,0,,0,,D,Brussels,Brussels Capital Region,3.0,1,2.0,False,3811.786011123928,,,,,,
